ID,Lat,Lon,Archive,Proxy,minYear,maxYear,Resolution,Publication,Data Citation,inComposites
Afr_004,-6.03,28.53,lake sediment,TEX86,504,1986, 21,tierney2010late,tierney2010africaDataCitation,yes
Afr_005,-10.0033,34.2883,lake sediment,TEX86,1283,1996, 18,powers2011organic,powers2012africaDataCitation,yes
Afr_012,-24.02,29.11,speleothem,d18O,1635,1992,  1,sundqvist2013evidence,sundqvist2013africaDataCitation,yes
Ant_001,-72.8,159.06,glacier ice,dD,1232,1995,  1,stenni2002eight,stenni2002antDataCitation,yes
Ant_002,-66.77,112.807,glacier ice,d18O,173,1995,  1,moy2016annual,moy2016antDataCitation,yes
Ant_003,-84,43,glacier ice,d18O,2,1986,  1,ahmed2013continental,coleantDataCitation,yes
Ant_004,-70.86,11.54,glacier ice,d18O,1533,1994,  1,thamban2012antarctic,thambanantDataCitation,yes
Ant_005,-75,-0.01,glacier ice,d18O,166,1996,  1,graf2002continental,graf2002antDataCitation,yes
Ant_006,-79.46,-112.09,glacier ice,d18O,786,2005,  1,steig2013recent,steig2013antDataCitation,yes
Ant_007,-79.46,-112.09,glacier ice,d18O,-50,2006,<1,steig2013recent,steig2013antDataCitation,yes
Ant_008,-79.3838,-111.24,glacier ice,d18O,1673,2001,<1,steig2013recent,steig2013antDataCitation,yes
Ant_010,-64.2017,-57.685,glacier ice,dD,-1,2007,  1,abram2013acceleration,mulvaneyantDataCitation,yes
Ant_011,-75.92,-84.25,glacier ice,d18O,1417,1983,  1,ahmed2013continental,mosleyantDataCitation,yes
Ant_012,-79.57,-45.72,glacier ice,d18O,1000,1992,  1,ruth2004comprehensive,mulvaney2002antDataCitation,yes
Ant_013,-75.1,123.39,glacier ice,dD,3,1919, 14,jouzel2001a,jouzel2007antDataCitation,yes
Ant_014,-75.1,123.39,glacier ice,d18O,3,1919, 14,stenni2001an,stenni2006antDataCitation,yes
Ant_015,-77.32,39.7,glacier ice,d18O,695,1875, 10,horiuchi2008ice,uemuraantDataCitation,yes
Ant_016,-77.32,39.7,glacier ice,d18O,424,1467,  4,motizuki2014dating,uemuraantDataCitation,yes
Ant_017,-74.57,-86.9,glacier ice,dD,1703,2010,  1,thomas2013a,thomasantDataCitation,yes
Ant_018,-66.77,112.807,borehole,temperature,-6742,1995,102,dahl1999monte,dahlantDataCitation,no
Ant_019,-77.515,167.6765,glacier ice,dD,1473,2007,<1,rhodes2012little,bertlerantDataCitation,yes
Ant_020,-75.58,-3.43,glacier ice,d18O,1000,1994,  1,graf2000glacio,graf2002antDataCitation,yes
Ant_021,-75.17,6.5,glacier ice,d18O,1000,1997,  1,graf2000glacio,graf2002antDataCitation,yes
Ant_022,-72.82,159.18,glacier ice,d18O,4,1991, 12,stenni2010expression,stenniantDataCitation,yes
Ant_023,-77.78,158.72,glacier ice,d18O,-25,1938,  2,steig2000wisconsinan,steigantDataCitation,yes
Ant_024,-86.5,-107.99,glacier ice,d18O,1594,2003,<1,steig2013recent,steig2013antDataCitation,yes
Ant_025,-77.3302,162.5332,glacier ice,dD,1140,2000,  1,bertler2011cold,bertler2016antDataCitation,yes
Ant_026,-78.2785,104.8005,glacier ice,dD,1654,2010,  1,ekaykin2014multiple,ekaykinantDataCitation,yes
Ant_027,-79.463,-112.125,borehole,temperature,8,2007,  1,orsi2012little,severinghausantDataCitation,no
Ant_028,-79.46,-112.09,glacier ice,dD,-50,2006,<1,steig2013recent,steig2013antDataCitation,yes
Arc_001,68.09,-150.47,lake sediment,,730,2000,  1,bird2008a,,yes
Arc_002,72,101,tree,TRW,-1,2000,  1,briffa2008trends,briffa2013arcDataCitation,yes
Arc_004,81.35,-69.53,lake sediment,massacum,-1,2000,  1,cook2008five,cook2008arcDataCitation,yes
Arc_005,77.17,-61.13,glacier ice,d18O,1242,1967,  1,dansgaard1969one,,yes
Arc_007,61.03,-146.59,tree,TRW,800,2010,  1,wiles2014surface,wilson2016arcDataCitation,yes
Arc_008,67.9,-140.7,tree,,1177,2000,  1,d2006on,,yes
Arc_011,72.1,-38.08,glacier ice,d18O,818,1987,  1,grootes1997oxygen,grootes1997arcDataCitation,yes
Arc_014,63.62,29.1,lake sediment,,1,1800,  1,haltiahovi2007a,,yes
Arc_016,69.5,147,tree,TRW,1259,1994,  1,hughes1999twentieth,hughes2013arcDataCitation,yes
