ID,Name,Lat,Lon,Archive,Proxy,minYear,maxYear,Resolution,Include in composite,First Author,Publication Year,DOI
Africa_001,Africa-ColdAirCave.Sundqvist.2013,-24,29.18,speleothem,d18O,1635,1992,  1,yes,Sundqvist,2013,'10.1038/srep01767'
Africa_004,Africa-LakeTanganyi.Tierney.2010,-6.03,28.53,lake sediment,alkenone,504,1986, 21,yes,Tierney,2010,'10.1038/NGEO865'
Ant_005,Ant-BerknerIslan.Mulvaney.2002,-79.57,-45.72,glacier ice,d18O,1000,1992,  1,yes,Ruth,2004,'10.3189/172756404781814104'
Ant_017,Ant-CoastalDML.Thamban.2006,-70.86,11.54,glacier ice,d18O,1533,1993,  1,yes,Thamban,2012,'10.1007/978-3-642-28845-6_5'
Ant_011,Ant-DSS.Moy.2012,-66.77,112.807,glacier ice,d18O,173,1994,  1,yes,Ahmed,2013,'10.1038/NGEO1797'
Ant_013,Ant-DomeC.Jouzel.2001,-75.1,123.39,glacier ice,dD,3,1910, 14,yes,Jouzel,2001,'10.1029/2000GL012243'
Ant_012,Ant-DomeC.Stenni.2001,-75.1,123.39,glacier ice,d18O,3,1910, 14,yes,Stenni,2001,'10.1126/science.1059702'
Ant_010,Ant-DomeF.Horiuchi.2008,-77.32,39.7,glacier ice,d18O,695,1869, 10,yes,Horiuchi,2008,'10.1016/j.quageo.2008.01.003'
Ant_009,Ant-DomeF.Watanabe.1997,-77.32,39.7,glacier ice,d18O,424,1462,  4,yes,Motizuki,2014,'10.5194/tcd-8-769-2014'
Ant_014,Ant-Ferrigno.Thomas.2013,-74.57,-86.9,glacier ice,dD,1703,2010,  1,yes,Thomas,2013,'10.1002/2013GL057782'
Ant_022,Ant-JamesRossIsl.Mulvaney.2012,-64.2017,-57.685,glacier ice,dD,-1,2006,  1,yes,Abram,2013,'10.1038/ngeo1787'
LPD7abab671,Ant-LawDomeBoreholeReconstruction,-66.7697,112.8069,borehole,,-5502,1995, 94,no,Dahl-Jensen,1999,'NaN'
Ant_033,Ant-MES.Bertler.2012,-77.515,167.6765,glacier ice,dD,1473,2007,<1,yes,Rhodes,2012,'10.5194/cp-8-1223-2012'
Ant_023,Ant-PlateauRemot.Cole-Dai.1996,-84,43,glacier ice,d18O,2,1985,  1,yes,Ahmed,2013,'10.1038/NGEO1797'
Ant_024,Ant-SipleStation.Mosley-Thompson.1990,-75.92,-84.25,glacier ice,d18O,1417,1982,  1,yes,Ahmed,2013,'10.1038/NGEO1797'
Ant_007,Ant-SiteDML05.Graf.2000,-75,-0.01,glacier ice,d18O,166,1995,  1,yes,Ahmed,2013,'10.1038/NGEO1797'
Ant_006,Ant-SiteDML07.Graf.2000,-75.58,-3.43,glacier ice,d18O,1000,1994,  1,yes,Sommer,2000,'10.1029/2000JD900450'
Ant_008,Ant-SiteDML17.Graf.2000,-75.17,6.5,glacier ice,d18O,1000,1996,  1,yes,Sommer,2000,'10.1029/2000JD900450'
Ant_025,Ant-TALDICE.Stenni.2011,-72.82,159.18,glacier ice,d18O,4,1987, 12,yes,Stenni,2010,'10.1038/NGEO1026'
Ant_026,Ant-TalosDome.Stenni.2002,-72.8,159.06,glacier ice,dD,1232,1994,  1,yes,,,'10.1029/2000JD000317'
Ant_035,Ant-TaylorDome.Steig.2000,-77.78,158.72,glacier ice,d18O,-25,1938,  2,yes,Steig,2000,'10.1111/j.0435-3676.2000.00122.x'
Ant_037,Ant-USITASE20001.Steig.2013,-79.3838,-111.24,glacier ice,d18O,1673,2001,<1,yes,Steig,2013,'10.1038/ngeo1778'
